epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9702,2.49641,4.19372,1.55248,0.01884,0.66068,0.1192,0.0406,1.42721,4.18176,1.03909,0.000326667,0.000326667,0.000326667
2,67.4832,1.66615,2.56809,1.13385,0.72662,0.14758,0.28256,0.08954,1.94714,3.45727,1.12866,0.000653466,0.000653466,0.000653466
3,84.4933,1.48629,1.96923,1.08317,0.2979,0.34667,0.24814,0.0603,2.54437,2.89152,1.37824,0.000973665,0.000973665,0.000973665
4,98.8275,1.38491,1.65204,1.04964,0.36714,0.41229,0.30124,0.05829,2.86325,2.51274,1.63052,0.0009703,0.0009703,0.0009703
5,109.89,1.3764,1.45153,1.04608,0.71278,0.7291,0.78886,0.32193,1.97907,1.74707,1.39056,0.0009604,0.0009604,0.0009604
6,121.125,1.40542,1.37188,1.04047,0.83907,0.79272,0.87901,0.52813,1.3145,1.24754,1.04951,0.0009505,0.0009505,0.0009505
7,132.203,1.29815,1.23146,1.015,0.84831,0.79773,0.87574,0.48186,1.36696,1.18672,1.05924,0.0009406,0.0009406,0.0009406
8,145.153,1.22398,1.12438,0.99037,0.85923,0.80344,0.91439,0.62717,1.02962,1.11686,0.96172,0.0009307,0.0009307,0.0009307
9,159.36,1.30842,1.11017,1.00634,0.88525,0.85132,0.93019,0.61262,1.07207,1.00171,0.98143,0.0009208,0.0009208,0.0009208
10,173.446,1.1806,1.02533,0.97132,0.89628,0.84893,0.91365,0.42333,1.8081,1.07847,1.25957,0.0009109,0.0009109,0.0009109
11,187.361,1.21034,0.99852,0.97759,0.8818,0.86976,0.9313,0.55164,1.28725,1.04465,1.02904,0.000901,0.000901,0.000901
12,201.202,1.27424,1.0257,0.99572,0.90615,0.88814,0.94063,0.54565,1.35647,0.91045,1.06627,0.0008911,0.0008911,0.0008911
13,215.086,1.22384,0.94891,0.98124,0.89452,0.90465,0.96392,0.70091,0.94123,0.8367,0.9429,0.0008812,0.0008812,0.0008812
14,226.498,1.16835,0.90438,0.96418,0.84022,0.81028,0.84627,0.23207,2.62277,1.26916,1.84185,0.0008713,0.0008713,0.0008713
15,237.352,1.21003,0.90463,0.97147,0.94753,0.90052,0.96053,0.63651,1.08522,0.78669,0.97529,0.0008614,0.0008614,0.0008614
16,248.185,1.1744,0.90545,0.97033,0.92155,0.91103,0.96365,0.70828,0.93051,0.76406,0.93364,0.0008515,0.0008515,0.0008515
17,259.027,1.14835,0.87148,0.96219,0.89311,0.90555,0.94976,0.68461,0.91142,0.79107,0.92407,0.0008416,0.0008416,0.0008416
18,269.917,1.12236,0.85081,0.9574,0.93975,0.92598,0.96606,0.63881,1.11895,0.73879,0.98246,0.0008317,0.0008317,0.0008317
19,280.845,1.1832,0.84806,0.96684,0.95182,0.91647,0.96829,0.61647,1.19023,0.76065,0.99026,0.0008218,0.0008218,0.0008218
20,291.769,1.08887,0.80439,0.9466,0.94705,0.93207,0.97586,0.74661,0.84986,0.64152,0.90726,0.0008119,0.0008119,0.0008119
21,302.732,1.1668,0.82519,0.96308,0.96145,0.93107,0.97514,0.70354,0.9321,0.67446,0.92415,0.000802,0.000802,0.000802
22,313.739,1.14536,0.79253,0.95435,0.93062,0.84352,0.93215,0.46651,1.62036,0.93589,1.14265,0.0007921,0.0007921,0.0007921
